giocatore,link_a,link_b
Jack Draper,https://www.atptour.com/en/players/jack-draper/d0co/rankings-breakdown,https://www.atptour.com/en/players/jack-draper/d0co/player-stats
Sebastian Baez,https://www.atptour.com/en/players/sebastian-baez/b0bi/rankings-breakdown,https://www.atptour.com/en/players/sebastian-baez/b0bi/player-stats
Arthur Rinderknech,https://www.atptour.com/en/players/arthur-rinderknech/rc91/rankings-breakdown,https://www.atptour.com/en/players/arthur-rinderknech/rc91/player-stats
Lorenzo Sonego,https://www.atptour.com/en/players/lorenzo-sonego/su87/rankings-breakdown,https://www.atptour.com/en/players/lorenzo-sonego/su87/player-stats
Adrian Mannarino,https://www.atptour.com/en/players/adrian-mannarino/me82/rankings-breakdown,https://www.atptour.com/en/players/adrian-mannarino/me82/player-stats
Brandon Nakashima,https://www.atptour.com/en/players/brandon-nakashima/n0ae/rankings-breakdown,https://www.atptour.com/en/players/brandon-nakashima/n0ae/player-stats
Jenson Brooksby,https://www.atptour.com/en/players/jenson-brooksby/b0cd/rankings-breakdown,https://www.atptour.com/en/players/jenson-brooksby/b0cd/player-stats
Andy Murray,https://www.atptour.com/en/players/andy-murray/mc10/rankings-breakdown,https://www.atptour.com/en/players/andy-murray/mc10/player-stats
Alex Molcan,https://www.atptour.com/en/players/alex-molcan/mv14/rankings-breakdown,https://www.atptour.com/en/players/alex-molcan/mv14/player-stats
Corentin Moutet,https://www.atptour.com/en/players/corentin-moutet/mw02/rankings-breakdown,https://www.atptour.com/en/players/corentin-moutet/mw02/player-stats
Gael Monfils,https://www.atptour.com/en/players/gael-monfils/mc65/rankings-breakdown,https://www.atptour.com/en/players/gael-monfils/mc65/player-stats
David Goffin,https://www.atptour.com/en/players/david-goffin/gb88/rankings-breakdown,https://www.atptour.com/en/players/david-goffin/gb88/player-stats
Pedro Cachin,https://www.atptour.com/en/players/pedro-cachin/cg04/rankings-breakdown,https://www.atptour.com/en/players/pedro-cachin/cg04/player-stats
Filip Krajinovic,https://www.atptour.com/en/players/filip-krajinovic/kb05/rankings-breakdown,https://www.atptour.com/en/players/filip-krajinovic/kb05/player-stats
Fabio Fognini,https://www.atptour.com/en/players/fabio-fognini/f510/rankings-breakdown,https://www.atptour.com/en/players/fabio-fognini/f510/player-stats
Jaume Munar,https://www.atptour.com/en/players/jaume-munar/mu94/rankings-breakdown,https://www.atptour.com/en/players/jaume-munar/mu94/player-stats
Marc-Andrea Huesler,https://www.atptour.com/en/players/marc-andrea-huesler/hh06/rankings-breakdown,https://www.atptour.com/en/players/marc-andrea-huesler/hh06/player-stats
Aslan Karatsev,https://www.atptour.com/en/players/aslan-karatsev/kc56/rankings-breakdown,https://www.atptour.com/en/players/aslan-karatsev/kc56/player-stats
Benjamin Bonzi,https://www.atptour.com/en/players/benjamin-bonzi/bm95/rankings-breakdown,https://www.atptour.com/en/players/benjamin-bonzi/bm95/player-stats
